,,0
MntSweetProducts (con),Teenhome (con),-0.16279449389869474
Joined_year (con),NumWebPurchases (con),-0.16913973096854099
AcceptedCmp6 (con),Joined_year (con),-0.1720428565241387
AcceptedCmp1 (con),Kidhome (con),-0.17433870531369997
MntFruits (con),Teenhome (con),-0.1757363983539508
AcceptedCmp5 (con),NumDealsPurchases (con),-0.18391281777730212
Joined_year (con),NumDealsPurchases (con),-0.18504270798936232
AcceptedCmp5 (con),Teenhome (con),-0.18996086328241052
AcceptedCmp1 (con),NumWebVisitsMonth (con),-0.19522644443561663
AcceptedCmp6 (con),Recency (con),-0.19989852135467695
AcceptedCmp5 (con),Kidhome (con),-0.2046602847705848
MntFishProducts (con),Teenhome (con),-0.20495364751004172
Age (con),Kidhome (con),-0.2377380364277606
MntGoldProds (con),NumWebVisitsMonth (con),-0.2460252511770137
Joined_year (con),NumWebVisitsMonth (con),-0.25333734498746446
MntMeatProducts (con),Teenhome (con),-0.260777835534907
AcceptedCmp5 (con),NumWebVisitsMonth (con),-0.2761231015125343
MntWines (con),NumWebVisitsMonth (con),-0.32166552409560556
Kidhome (con),MntGoldProds (con),-0.3550948351407294
Kidhome (con),NumWebPurchases (con),-0.37240951970355385
Kidhome (con),MntFruits (con),-0.3733048735671449
Kidhome (con),MntSweetProducts (con),-0.3780137953690601
Kidhome (con),MntFishProducts (con),-0.3887767693916521
MntFruits (con),NumWebVisitsMonth (con),-0.41776384233490854
MntSweetProducts (con),NumWebVisitsMonth (con),-0.4223231223531209
Income (con),Kidhome (con),-0.4282306069489628
NumStorePurchases (con),NumWebVisitsMonth (con),-0.4338413491689088
Kidhome (con),MntMeatProducts (con),-0.4391923211909748
MntFishProducts (con),NumWebVisitsMonth (con),-0.44618168392116697
Kidhome (con),MntWines (con),-0.4974072766351028
Kidhome (con),NumStorePurchases (con),-0.5020616144001754
Kidhome (con),NumCatalogPurchases (con),-0.5047060390472385
NumCatalogPurchases (con),NumWebVisitsMonth (con),-0.5220474468524352
MntMeatProducts (con),NumWebVisitsMonth (con),-0.5392144223800605
Income (con),NumWebVisitsMonth (con),-0.5527360368644985
